REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRBIOAUTXX01,2021,2.238
GLOBAL,PWRBIOAUTXX01,2022,2.238
GLOBAL,PWRBIOAUTXX01,2023,2.238
GLOBAL,PWRBIOAUTXX01,2024,2.238
GLOBAL,PWRBIOAUTXX01,2025,2.238
GLOBAL,PWRBIOAUTXX01,2026,2.238
GLOBAL,PWRBIOAUTXX01,2027,2.238
GLOBAL,PWRBIOAUTXX01,2028,2.238
GLOBAL,PWRBIOAUTXX01,2029,2.238
GLOBAL,PWRBIOAUTXX01,2030,2.238
GLOBAL,PWRBIOAUTXX01,2031,2.238
GLOBAL,PWRBIOAUTXX01,2032,0.0
GLOBAL,PWRBIOAUTXX01,2033,0.0
GLOBAL,PWRBIOAUTXX01,2034,0.0
GLOBAL,PWRBIOAUTXX01,2035,0.0
GLOBAL,PWRBIOAUTXX01,2036,0.0
GLOBAL,PWRBIOAUTXX01,2037,0.0
GLOBAL,PWRBIOAUTXX01,2038,0.0
GLOBAL,PWRBIOAUTXX01,2039,0.0
GLOBAL,PWRBIOAUTXX01,2040,0.0
GLOBAL,PWRBIOAUTXX01,2041,0.0
GLOBAL,PWRBIOAUTXX01,2042,0.0
GLOBAL,PWRBIOAUTXX01,2043,0.0
GLOBAL,PWRBIOAUTXX01,2044,0.0
GLOBAL,PWRBIOAUTXX01,2045,0.0
GLOBAL,PWRBIOAUTXX01,2046,0.0
GLOBAL,PWRBIOAUTXX01,2047,0.0
GLOBAL,PWRBIOAUTXX01,2048,0.0
GLOBAL,PWRBIOAUTXX01,2049,0.0
GLOBAL,PWRBIOAUTXX01,2050,0.0
GLOBAL,PWRCCGAUTXX00,2021,4.501
GLOBAL,PWRCCGAUTXX00,2022,4.501
GLOBAL,PWRCCGAUTXX00,2023,4.501
GLOBAL,PWRCCGAUTXX00,2024,4.501
GLOBAL,PWRCCGAUTXX00,2025,2.067
GLOBAL,PWRCCGAUTXX00,2026,2.067
GLOBAL,PWRCCGAUTXX00,2027,2.067
GLOBAL,PWRCCGAUTXX00,2028,2.067
GLOBAL,PWRCCGAUTXX00,2029,2.067
GLOBAL,PWRCCGAUTXX00,2030,2.067
GLOBAL,PWRCCGAUTXX00,2031,2.067
GLOBAL,PWRCCGAUTXX00,2032,1.672
GLOBAL,PWRCCGAUTXX00,2033,1.672
GLOBAL,PWRCCGAUTXX00,2034,1.672
GLOBAL,PWRCCGAUTXX00,2035,1.672
GLOBAL,PWRCCGAUTXX00,2036,1.672
GLOBAL,PWRCCGAUTXX00,2037,1.672
GLOBAL,PWRCCGAUTXX00,2038,1.672
GLOBAL,PWRCCGAUTXX00,2039,1.272
GLOBAL,PWRCCGAUTXX00,2040,0.0
GLOBAL,PWRCCGAUTXX00,2041,0.0
GLOBAL,PWRCCGAUTXX00,2042,0.0
GLOBAL,PWRCCGAUTXX00,2043,0.0
GLOBAL,PWRCCGAUTXX00,2044,0.0
GLOBAL,PWRCCGAUTXX00,2045,0.0
GLOBAL,PWRCCGAUTXX00,2046,0.0
GLOBAL,PWRCCGAUTXX00,2047,0.0
GLOBAL,PWRCCGAUTXX00,2048,0.0
GLOBAL,PWRCCGAUTXX00,2049,0.0
GLOBAL,PWRCCGAUTXX00,2050,0.0
GLOBAL,PWRCOAAUTXX01,2021,1.171
GLOBAL,PWRCOAAUTXX01,2022,1.171
GLOBAL,PWRCOAAUTXX01,2023,1.171
GLOBAL,PWRCOAAUTXX01,2024,1.171
GLOBAL,PWRCOAAUTXX01,2025,1.171
GLOBAL,PWRCOAAUTXX01,2026,1.171
GLOBAL,PWRCOAAUTXX01,2027,1.171
GLOBAL,PWRCOAAUTXX01,2028,0.0
GLOBAL,PWRCOAAUTXX01,2029,0.0
GLOBAL,PWRCOAAUTXX01,2030,0.0
GLOBAL,PWRCOAAUTXX01,2031,0.0
GLOBAL,PWRCOAAUTXX01,2032,0.0
GLOBAL,PWRCOAAUTXX01,2033,0.0
GLOBAL,PWRCOAAUTXX01,2034,0.0
GLOBAL,PWRCOAAUTXX01,2035,0.0
GLOBAL,PWRCOAAUTXX01,2036,0.0
GLOBAL,PWRCOAAUTXX01,2037,0.0
GLOBAL,PWRCOAAUTXX01,2038,0.0
GLOBAL,PWRCOAAUTXX01,2039,0.0
GLOBAL,PWRCOAAUTXX01,2040,0.0
GLOBAL,PWRCOAAUTXX01,2041,0.0
GLOBAL,PWRCOAAUTXX01,2042,0.0
GLOBAL,PWRCOAAUTXX01,2043,0.0
GLOBAL,PWRCOAAUTXX01,2044,0.0
GLOBAL,PWRCOAAUTXX01,2045,0.0
GLOBAL,PWRCOAAUTXX01,2046,0.0
GLOBAL,PWRCOAAUTXX01,2047,0.0
GLOBAL,PWRCOAAUTXX01,2048,0.0
GLOBAL,PWRCOAAUTXX01,2049,0.0
GLOBAL,PWRCOAAUTXX01,2050,0.0
GLOBAL,PWRHYDAUTXX01,2021,9.073
GLOBAL,PWRHYDAUTXX01,2022,9.073
GLOBAL,PWRHYDAUTXX01,2023,9.073
GLOBAL,PWRHYDAUTXX01,2024,9.073
GLOBAL,PWRHYDAUTXX01,2025,9.073
GLOBAL,PWRHYDAUTXX01,2026,9.043
GLOBAL,PWRHYDAUTXX01,2027,8.95
GLOBAL,PWRHYDAUTXX01,2028,8.95
GLOBAL,PWRHYDAUTXX01,2029,8.95
GLOBAL,PWRHYDAUTXX01,2030,8.95
GLOBAL,PWRHYDAUTXX01,2031,8.949
GLOBAL,PWRHYDAUTXX01,2032,8.931
GLOBAL,PWRHYDAUTXX01,2033,8.931
GLOBAL,PWRHYDAUTXX01,2034,8.931
GLOBAL,PWRHYDAUTXX01,2035,8.931
GLOBAL,PWRHYDAUTXX01,2036,8.931
GLOBAL,PWRHYDAUTXX01,2037,8.931
GLOBAL,PWRHYDAUTXX01,2038,8.931
GLOBAL,PWRHYDAUTXX01,2039,8.931
GLOBAL,PWRHYDAUTXX01,2040,8.931
GLOBAL,PWRHYDAUTXX01,2041,8.931
GLOBAL,PWRHYDAUTXX01,2042,8.931
GLOBAL,PWRHYDAUTXX01,2043,8.931
GLOBAL,PWRHYDAUTXX01,2044,8.75
GLOBAL,PWRHYDAUTXX01,2045,8.75
GLOBAL,PWRHYDAUTXX01,2046,8.75
GLOBAL,PWRHYDAUTXX01,2047,8.707
GLOBAL,PWRHYDAUTXX01,2048,8.706
GLOBAL,PWRHYDAUTXX01,2049,8.706
GLOBAL,PWRHYDAUTXX01,2050,8.45
GLOBAL,PWROILAUTXX01,2021,0.178
GLOBAL,PWROILAUTXX01,2022,0.178
GLOBAL,PWROILAUTXX01,2023,0.178
GLOBAL,PWROILAUTXX01,2024,0.178
GLOBAL,PWROILAUTXX01,2025,0.178
GLOBAL,PWROILAUTXX01,2026,0.178
GLOBAL,PWROILAUTXX01,2027,0.0
GLOBAL,PWROILAUTXX01,2028,0.0
GLOBAL,PWROILAUTXX01,2029,0.0
GLOBAL,PWROILAUTXX01,2030,0.0
GLOBAL,PWROILAUTXX01,2031,0.0
GLOBAL,PWROILAUTXX01,2032,0.0
GLOBAL,PWROILAUTXX01,2033,0.0
GLOBAL,PWROILAUTXX01,2034,0.0
GLOBAL,PWROILAUTXX01,2035,0.0
GLOBAL,PWROILAUTXX01,2036,0.0
GLOBAL,PWROILAUTXX01,2037,0.0
GLOBAL,PWROILAUTXX01,2038,0.0
GLOBAL,PWROILAUTXX01,2039,0.0
GLOBAL,PWROILAUTXX01,2040,0.0
GLOBAL,PWROILAUTXX01,2041,0.0
GLOBAL,PWROILAUTXX01,2042,0.0
GLOBAL,PWROILAUTXX01,2043,0.0
GLOBAL,PWROILAUTXX01,2044,0.0
GLOBAL,PWROILAUTXX01,2045,0.0
GLOBAL,PWROILAUTXX01,2046,0.0
GLOBAL,PWROILAUTXX01,2047,0.0
GLOBAL,PWROILAUTXX01,2048,0.0
GLOBAL,PWROILAUTXX01,2049,0.0
GLOBAL,PWROILAUTXX01,2050,0.0
GLOBAL,PWRSPVAUTXX01,2021,0.937
GLOBAL,PWRSPVAUTXX01,2022,0.937
GLOBAL,PWRSPVAUTXX01,2023,0.937
GLOBAL,PWRSPVAUTXX01,2024,0.937
GLOBAL,PWRSPVAUTXX01,2025,0.937
GLOBAL,PWRSPVAUTXX01,2026,0.937
GLOBAL,PWRSPVAUTXX01,2027,0.937
GLOBAL,PWRSPVAUTXX01,2028,0.937
GLOBAL,PWRSPVAUTXX01,2029,0.937
GLOBAL,PWRSPVAUTXX01,2030,0.937
GLOBAL,PWRSPVAUTXX01,2031,0.937
GLOBAL,PWRSPVAUTXX01,2032,0.937
GLOBAL,PWRSPVAUTXX01,2033,0.937
GLOBAL,PWRSPVAUTXX01,2034,0.937
GLOBAL,PWRSPVAUTXX01,2035,0.937
GLOBAL,PWRSPVAUTXX01,2036,0.937
GLOBAL,PWRSPVAUTXX01,2037,0.937
GLOBAL,PWRSPVAUTXX01,2038,0.937
GLOBAL,PWRSPVAUTXX01,2039,0.937
GLOBAL,PWRSPVAUTXX01,2040,0.937
GLOBAL,PWRSPVAUTXX01,2041,0.937
GLOBAL,PWRSPVAUTXX01,2042,0.937
GLOBAL,PWRSPVAUTXX01,2043,0.937
GLOBAL,PWRSPVAUTXX01,2044,0.937
GLOBAL,PWRSPVAUTXX01,2045,0.0
GLOBAL,PWRSPVAUTXX01,2046,0.0
GLOBAL,PWRSPVAUTXX01,2047,0.0
GLOBAL,PWRSPVAUTXX01,2048,0.0
GLOBAL,PWRSPVAUTXX01,2049,0.0
GLOBAL,PWRSPVAUTXX01,2050,0.0
GLOBAL,PWRWONAUTXX01,2021,2.489
GLOBAL,PWRWONAUTXX01,2022,2.489
GLOBAL,PWRWONAUTXX01,2023,2.489
GLOBAL,PWRWONAUTXX01,2024,2.489
GLOBAL,PWRWONAUTXX01,2025,2.489
GLOBAL,PWRWONAUTXX01,2026,2.489
GLOBAL,PWRWONAUTXX01,2027,2.489
GLOBAL,PWRWONAUTXX01,2028,2.489
GLOBAL,PWRWONAUTXX01,2029,2.489
GLOBAL,PWRWONAUTXX01,2030,2.489
GLOBAL,PWRWONAUTXX01,2031,2.48
GLOBAL,PWRWONAUTXX01,2032,2.48
GLOBAL,PWRWONAUTXX01,2033,2.48
GLOBAL,PWRWONAUTXX01,2034,2.48
GLOBAL,PWRWONAUTXX01,2035,2.48
GLOBAL,PWRWONAUTXX01,2036,2.48
GLOBAL,PWRWONAUTXX01,2037,2.48
GLOBAL,PWRWONAUTXX01,2038,2.48
GLOBAL,PWRWONAUTXX01,2039,2.48
GLOBAL,PWRWONAUTXX01,2040,0.058
GLOBAL,PWRWONAUTXX01,2041,0.058
GLOBAL,PWRWONAUTXX01,2042,0.058
GLOBAL,PWRWONAUTXX01,2043,0.058
GLOBAL,PWRWONAUTXX01,2044,0.058
GLOBAL,PWRWONAUTXX01,2045,0.021
GLOBAL,PWRWONAUTXX01,2046,0.0
GLOBAL,PWRWONAUTXX01,2047,0.0
GLOBAL,PWRWONAUTXX01,2048,0.0
GLOBAL,PWRWONAUTXX01,2049,0.0
GLOBAL,PWRWONAUTXX01,2050,0.0
GLOBAL,PWRBIOBELXX01,2021,0.9166
GLOBAL,PWRBIOBELXX01,2022,0.9166
GLOBAL,PWRBIOBELXX01,2023,0.9166
GLOBAL,PWRBIOBELXX01,2024,0.9166
GLOBAL,PWRBIOBELXX01,2025,0.9166
GLOBAL,PWRBIOBELXX01,2026,0.9166
GLOBAL,PWRBIOBELXX01,2027,0.9166
GLOBAL,PWRBIOBELXX01,2028,0.9166
GLOBAL,PWRBIOBELXX01,2029,0.9166
GLOBAL,PWRBIOBELXX01,2030,0.9166
GLOBAL,PWRBIOBELXX01,2031,0.9166
GLOBAL,PWRBIOBELXX01,2032,0.095
GLOBAL,PWRBIOBELXX01,2033,0.095
GLOBAL,PWRBIOBELXX01,2034,0.095
GLOBAL,PWRBIOBELXX01,2035,0.095
GLOBAL,PWRBIOBELXX01,2036,0.0
GLOBAL,PWRBIOBELXX01,2037,0.0
GLOBAL,PWRBIOBELXX01,2038,0.0
GLOBAL,PWRBIOBELXX01,2039,0.0
GLOBAL,PWRBIOBELXX01,2040,0.0
GLOBAL,PWRBIOBELXX01,2041,0.0
GLOBAL,PWRBIOBELXX01,2042,0.0
GLOBAL,PWRBIOBELXX01,2043,0.0
GLOBAL,PWRBIOBELXX01,2044,0.0
GLOBAL,PWRBIOBELXX01,2045,0.0
GLOBAL,PWRBIOBELXX01,2046,0.0
GLOBAL,PWRBIOBELXX01,2047,0.0
GLOBAL,PWRBIOBELXX01,2048,0.0
GLOBAL,PWRBIOBELXX01,2049,0.0
GLOBAL,PWRBIOBELXX01,2050,0.0
GLOBAL,PWRCCGBELXX00,2021,5.6592
GLOBAL,PWRCCGBELXX00,2022,5.6592
GLOBAL,PWRCCGBELXX00,2023,5.6592
GLOBAL,PWRCCGBELXX00,2024,5.6592
GLOBAL,PWRCCGBELXX00,2025,2.316
GLOBAL,PWRCCGBELXX00,2026,2.316
GLOBAL,PWRCCGBELXX00,2027,2.316
GLOBAL,PWRCCGBELXX00,2028,2.316
GLOBAL,PWRCCGBELXX00,2029,1.493
GLOBAL,PWRCCGBELXX00,2030,1.493
GLOBAL,PWRCCGBELXX00,2031,1.143
GLOBAL,PWRCCGBELXX00,2032,1.143
GLOBAL,PWRCCGBELXX00,2033,1.143
GLOBAL,PWRCCGBELXX00,2034,1.143
GLOBAL,PWRCCGBELXX00,2035,1.143
GLOBAL,PWRCCGBELXX00,2036,1.143
GLOBAL,PWRCCGBELXX00,2037,1.143
GLOBAL,PWRCCGBELXX00,2038,1.143
GLOBAL,PWRCCGBELXX00,2039,1.143
GLOBAL,PWRCCGBELXX00,2040,1.143
GLOBAL,PWRCCGBELXX00,2041,0.828
GLOBAL,PWRCCGBELXX00,2042,0.0
GLOBAL,PWRCCGBELXX00,2043,0.0
GLOBAL,PWRCCGBELXX00,2044,0.0
GLOBAL,PWRCCGBELXX00,2045,0.0
GLOBAL,PWRCCGBELXX00,2046,0.0
GLOBAL,PWRCCGBELXX00,2047,0.0
GLOBAL,PWRCCGBELXX00,2048,0.0
GLOBAL,PWRCCGBELXX00,2049,0.0
GLOBAL,PWRCCGBELXX00,2050,0.0
GLOBAL,PWRCOABELXX01,2021,0.47
GLOBAL,PWRCOABELXX01,2022,0.47
GLOBAL,PWRCOABELXX01,2023,0.47
GLOBAL,PWRCOABELXX01,2024,0.47
GLOBAL,PWRCOABELXX01,2025,0.47
GLOBAL,PWRCOABELXX01,2026,0.47
GLOBAL,PWRCOABELXX01,2027,0.47
GLOBAL,PWRCOABELXX01,2028,0.47
GLOBAL,PWRCOABELXX01,2029,0.0
GLOBAL,PWRCOABELXX01,2030,0.0
GLOBAL,PWRCOABELXX01,2031,0.0
GLOBAL,PWRCOABELXX01,2032,0.0
GLOBAL,PWRCOABELXX01,2033,0.0
GLOBAL,PWRCOABELXX01,2034,0.0
GLOBAL,PWRCOABELXX01,2035,0.0
GLOBAL,PWRCOABELXX01,2036,0.0
GLOBAL,PWRCOABELXX01,2037,0.0
GLOBAL,PWRCOABELXX01,2038,0.0
GLOBAL,PWRCOABELXX01,2039,0.0
GLOBAL,PWRCOABELXX01,2040,0.0
GLOBAL,PWRCOABELXX01,2041,0.0
GLOBAL,PWRCOABELXX01,2042,0.0
GLOBAL,PWRCOABELXX01,2043,0.0
GLOBAL,PWRCOABELXX01,2044,0.0
GLOBAL,PWRCOABELXX01,2045,0.0
GLOBAL,PWRCOABELXX01,2046,0.0
GLOBAL,PWRCOABELXX01,2047,0.0
GLOBAL,PWRCOABELXX01,2048,0.0
GLOBAL,PWRCOABELXX01,2049,0.0
GLOBAL,PWRCOABELXX01,2050,0.0
GLOBAL,PWRHYDBELXX01,2021,1.394
GLOBAL,PWRHYDBELXX01,2022,1.394
GLOBAL,PWRHYDBELXX01,2023,1.394
GLOBAL,PWRHYDBELXX01,2024,1.394
GLOBAL,PWRHYDBELXX01,2025,1.394
GLOBAL,PWRHYDBELXX01,2026,1.394
GLOBAL,PWRHYDBELXX01,2027,1.394
GLOBAL,PWRHYDBELXX01,2028,1.394
GLOBAL,PWRHYDBELXX01,2029,1.394
GLOBAL,PWRHYDBELXX01,2030,1.394
GLOBAL,PWRHYDBELXX01,2031,1.394
GLOBAL,PWRHYDBELXX01,2032,1.394
GLOBAL,PWRHYDBELXX01,2033,1.394
GLOBAL,PWRHYDBELXX01,2034,1.394
GLOBAL,PWRHYDBELXX01,2035,1.394
GLOBAL,PWRHYDBELXX01,2036,1.394
GLOBAL,PWRHYDBELXX01,2037,1.394
GLOBAL,PWRHYDBELXX01,2038,1.394
GLOBAL,PWRHYDBELXX01,2039,1.394
GLOBAL,PWRHYDBELXX01,2040,1.394
GLOBAL,PWRHYDBELXX01,2041,1.394
GLOBAL,PWRHYDBELXX01,2042,1.394
GLOBAL,PWRHYDBELXX01,2043,1.394
GLOBAL,PWRHYDBELXX01,2044,1.394
GLOBAL,PWRHYDBELXX01,2045,1.394
GLOBAL,PWRHYDBELXX01,2046,1.394
GLOBAL,PWRHYDBELXX01,2047,1.394
GLOBAL,PWRHYDBELXX01,2048,1.394
GLOBAL,PWRHYDBELXX01,2049,1.394
GLOBAL,PWRHYDBELXX01,2050,1.394
GLOBAL,PWROCGBELXX00,2021,0.488
GLOBAL,PWROCGBELXX00,2022,0.488
GLOBAL,PWROCGBELXX00,2023,0.488
GLOBAL,PWROCGBELXX00,2024,0.488
GLOBAL,PWROCGBELXX00,2025,0.052
GLOBAL,PWROCGBELXX00,2026,0.052
GLOBAL,PWROCGBELXX00,2027,0.052
GLOBAL,PWROCGBELXX00,2028,0.052
GLOBAL,PWROCGBELXX00,2029,0.052
GLOBAL,PWROCGBELXX00,2030,0.052
GLOBAL,PWROCGBELXX00,2031,0.052
GLOBAL,PWROCGBELXX00,2032,0.052
GLOBAL,PWROCGBELXX00,2033,0.052
GLOBAL,PWROCGBELXX00,2034,0.052
GLOBAL,PWROCGBELXX00,2035,0.052
GLOBAL,PWROCGBELXX00,2036,0.052
GLOBAL,PWROCGBELXX00,2037,0.0
GLOBAL,PWROCGBELXX00,2038,0.0
GLOBAL,PWROCGBELXX00,2039,0.0
GLOBAL,PWROCGBELXX00,2040,0.0
GLOBAL,PWROCGBELXX00,2041,0.0
GLOBAL,PWROCGBELXX00,2042,0.0
GLOBAL,PWROCGBELXX00,2043,0.0
GLOBAL,PWROCGBELXX00,2044,0.0
GLOBAL,PWROCGBELXX00,2045,0.0
GLOBAL,PWROCGBELXX00,2046,0.0
GLOBAL,PWROCGBELXX00,2047,0.0
GLOBAL,PWROCGBELXX00,2048,0.0
GLOBAL,PWROCGBELXX00,2049,0.0
GLOBAL,PWROCGBELXX00,2050,0.0
GLOBAL,PWROILBELXX01,2021,0.185
GLOBAL,PWROILBELXX01,2022,0.185
GLOBAL,PWROILBELXX01,2023,0.185
GLOBAL,PWROILBELXX01,2024,0.185
GLOBAL,PWROILBELXX01,2025,0.185
GLOBAL,PWROILBELXX01,2026,0.185
GLOBAL,PWROILBELXX01,2027,0.0
GLOBAL,PWROILBELXX01,2028,0.0
GLOBAL,PWROILBELXX01,2029,0.0
GLOBAL,PWROILBELXX01,2030,0.0
GLOBAL,PWROILBELXX01,2031,0.0
GLOBAL,PWROILBELXX01,2032,0.0
GLOBAL,PWROILBELXX01,2033,0.0
GLOBAL,PWROILBELXX01,2034,0.0
GLOBAL,PWROILBELXX01,2035,0.0
GLOBAL,PWROILBELXX01,2036,0.0
GLOBAL,PWROILBELXX01,2037,0.0
GLOBAL,PWROILBELXX01,2038,0.0
GLOBAL,PWROILBELXX01,2039,0.0
GLOBAL,PWROILBELXX01,2040,0.0
GLOBAL,PWROILBELXX01,2041,0.0
GLOBAL,PWROILBELXX01,2042,0.0
GLOBAL,PWROILBELXX01,2043,0.0
GLOBAL,PWROILBELXX01,2044,0.0
GLOBAL,PWROILBELXX01,2045,0.0
GLOBAL,PWROILBELXX01,2046,0.0
GLOBAL,PWROILBELXX01,2047,0.0
GLOBAL,PWROILBELXX01,2048,0.0
GLOBAL,PWROILBELXX01,2049,0.0
GLOBAL,PWROILBELXX01,2050,0.0
GLOBAL,PWRSPVBELXX01,2021,3.122
GLOBAL,PWRSPVBELXX01,2022,3.122
GLOBAL,PWRSPVBELXX01,2023,3.122
GLOBAL,PWRSPVBELXX01,2024,3.122
GLOBAL,PWRSPVBELXX01,2025,3.122
GLOBAL,PWRSPVBELXX01,2026,3.122
GLOBAL,PWRSPVBELXX01,2027,3.122
GLOBAL,PWRSPVBELXX01,2028,3.122
GLOBAL,PWRSPVBELXX01,2029,3.122
GLOBAL,PWRSPVBELXX01,2030,3.122
GLOBAL,PWRSPVBELXX01,2031,3.122
GLOBAL,PWRSPVBELXX01,2032,3.122
GLOBAL,PWRSPVBELXX01,2033,3.122
GLOBAL,PWRSPVBELXX01,2034,3.122
GLOBAL,PWRSPVBELXX01,2035,3.122
GLOBAL,PWRSPVBELXX01,2036,3.122
GLOBAL,PWRSPVBELXX01,2037,3.122
GLOBAL,PWRSPVBELXX01,2038,3.122
GLOBAL,PWRSPVBELXX01,2039,3.122
GLOBAL,PWRSPVBELXX01,2040,3.122
GLOBAL,PWRSPVBELXX01,2041,3.122
GLOBAL,PWRSPVBELXX01,2042,3.122
GLOBAL,PWRSPVBELXX01,2043,3.122
GLOBAL,PWRSPVBELXX01,2044,3.122
GLOBAL,PWRSPVBELXX01,2045,0.0
GLOBAL,PWRSPVBELXX01,2046,0.0
GLOBAL,PWRSPVBELXX01,2047,0.0
GLOBAL,PWRSPVBELXX01,2048,0.0
GLOBAL,PWRSPVBELXX01,2049,0.0
GLOBAL,PWRSPVBELXX01,2050,0.0
GLOBAL,PWRURNBELXX01,2021,5.924
GLOBAL,PWRURNBELXX01,2022,5.924
GLOBAL,PWRURNBELXX01,2023,5.924
GLOBAL,PWRURNBELXX01,2024,5.924
GLOBAL,PWRURNBELXX01,2025,5.924
GLOBAL,PWRURNBELXX01,2026,5.924
GLOBAL,PWRURNBELXX01,2027,5.924
GLOBAL,PWRURNBELXX01,2028,5.924
GLOBAL,PWRURNBELXX01,2029,5.924
GLOBAL,PWRURNBELXX01,2030,5.924
GLOBAL,PWRURNBELXX01,2031,5.924
GLOBAL,PWRURNBELXX01,2032,5.924
GLOBAL,PWRURNBELXX01,2033,5.924
GLOBAL,PWRURNBELXX01,2034,5.924
GLOBAL,PWRURNBELXX01,2035,5.924
GLOBAL,PWRURNBELXX01,2036,4.962
GLOBAL,PWRURNBELXX01,2037,4.962
GLOBAL,PWRURNBELXX01,2038,4.962
GLOBAL,PWRURNBELXX01,2039,4.962
GLOBAL,PWRURNBELXX01,2040,4.962
GLOBAL,PWRURNBELXX01,2041,4.962
GLOBAL,PWRURNBELXX01,2042,4.962
GLOBAL,PWRURNBELXX01,2043,4.962
GLOBAL,PWRURNBELXX01,2044,4.962
GLOBAL,PWRURNBELXX01,2045,4.962
GLOBAL,PWRURNBELXX01,2046,0.0
GLOBAL,PWRURNBELXX01,2047,0.0
GLOBAL,PWRURNBELXX01,2048,0.0
GLOBAL,PWRURNBELXX01,2049,0.0
GLOBAL,PWRURNBELXX01,2050,0.0
GLOBAL,PWRWASBELXX01,2021,0.224
GLOBAL,PWRWASBELXX01,2022,0.224
GLOBAL,PWRWASBELXX01,2023,0.224
GLOBAL,PWRWASBELXX01,2024,0.224
GLOBAL,PWRWASBELXX01,2025,0.224
GLOBAL,PWRWASBELXX01,2026,0.224
GLOBAL,PWRWASBELXX01,2027,0.224
GLOBAL,PWRWASBELXX01,2028,0.224
GLOBAL,PWRWASBELXX01,2029,0.224
GLOBAL,PWRWASBELXX01,2030,0.224
GLOBAL,PWRWASBELXX01,2031,0.224
GLOBAL,PWRWASBELXX01,2032,0.0
GLOBAL,PWRWASBELXX01,2033,0.0
GLOBAL,PWRWASBELXX01,2034,0.0
GLOBAL,PWRWASBELXX01,2035,0.0
GLOBAL,PWRWASBELXX01,2036,0.0
GLOBAL,PWRWASBELXX01,2037,0.0
GLOBAL,PWRWASBELXX01,2038,0.0
GLOBAL,PWRWASBELXX01,2039,0.0
GLOBAL,PWRWASBELXX01,2040,0.0
GLOBAL,PWRWASBELXX01,2041,0.0
GLOBAL,PWRWASBELXX01,2042,0.0
GLOBAL,PWRWASBELXX01,2043,0.0
GLOBAL,PWRWASBELXX01,2044,0.0
GLOBAL,PWRWASBELXX01,2045,0.0
GLOBAL,PWRWASBELXX01,2046,0.0
GLOBAL,PWRWASBELXX01,2047,0.0
GLOBAL,PWRWASBELXX01,2048,0.0
GLOBAL,PWRWASBELXX01,2049,0.0
GLOBAL,PWRWASBELXX01,2050,0.0
GLOBAL,PWRWOFBELXX01,2021,1.4252
GLOBAL,PWRWOFBELXX01,2022,1.4252
GLOBAL,PWRWOFBELXX01,2023,1.4252
GLOBAL,PWRWOFBELXX01,2024,1.4252
GLOBAL,PWRWOFBELXX01,2025,1.4252
GLOBAL,PWRWOFBELXX01,2026,1.4252
GLOBAL,PWRWOFBELXX01,2027,1.4252
GLOBAL,PWRWOFBELXX01,2028,1.4252
GLOBAL,PWRWOFBELXX01,2029,1.4252
GLOBAL,PWRWOFBELXX01,2030,1.4252
GLOBAL,PWRWOFBELXX01,2031,1.4252
GLOBAL,PWRWOFBELXX01,2032,1.4252
GLOBAL,PWRWOFBELXX01,2033,1.4252
GLOBAL,PWRWOFBELXX01,2034,1.4252
GLOBAL,PWRWOFBELXX01,2035,1.4252
GLOBAL,PWRWOFBELXX01,2036,1.4252
GLOBAL,PWRWOFBELXX01,2037,1.4252
GLOBAL,PWRWOFBELXX01,2038,1.4252
GLOBAL,PWRWOFBELXX01,2039,1.4252
GLOBAL,PWRWOFBELXX01,2040,1.4252
GLOBAL,PWRWOFBELXX01,2041,0.394
GLOBAL,PWRWOFBELXX01,2042,0.394
GLOBAL,PWRWOFBELXX01,2043,0.394
GLOBAL,PWRWOFBELXX01,2044,0.0
GLOBAL,PWRWOFBELXX01,2045,0.0
GLOBAL,PWRWOFBELXX01,2046,0.0
GLOBAL,PWRWOFBELXX01,2047,0.0
GLOBAL,PWRWOFBELXX01,2048,0.0
GLOBAL,PWRWOFBELXX01,2049,0.0
GLOBAL,PWRWOFBELXX01,2050,0.0
GLOBAL,PWRWONBELXX01,2021,1.4647
GLOBAL,PWRWONBELXX01,2022,1.4647
GLOBAL,PWRWONBELXX01,2023,1.4647
GLOBAL,PWRWONBELXX01,2024,1.4647
GLOBAL,PWRWONBELXX01,2025,1.4647
GLOBAL,PWRWONBELXX01,2026,1.4647
GLOBAL,PWRWONBELXX01,2027,1.4647
GLOBAL,PWRWONBELXX01,2028,1.4647
GLOBAL,PWRWONBELXX01,2029,1.4647
GLOBAL,PWRWONBELXX01,2030,1.4647
GLOBAL,PWRWONBELXX01,2031,1.4647
GLOBAL,PWRWONBELXX01,2032,1.4647
GLOBAL,PWRWONBELXX01,2033,1.4647
GLOBAL,PWRWONBELXX01,2034,1.4647
GLOBAL,PWRWONBELXX01,2035,1.4647
GLOBAL,PWRWONBELXX01,2036,1.4647
GLOBAL,PWRWONBELXX01,2037,1.4647
GLOBAL,PWRWONBELXX01,2038,1.4647
GLOBAL,PWRWONBELXX01,2039,1.4647
GLOBAL,PWRWONBELXX01,2040,0.0
GLOBAL,PWRWONBELXX01,2041,0.0
GLOBAL,PWRWONBELXX01,2042,0.0
GLOBAL,PWRWONBELXX01,2043,0.0
GLOBAL,PWRWONBELXX01,2044,0.0
GLOBAL,PWRWONBELXX01,2045,0.0
GLOBAL,PWRWONBELXX01,2046,0.0
GLOBAL,PWRWONBELXX01,2047,0.0
GLOBAL,PWRWONBELXX01,2048,0.0
